[ 2023-12-06 18:46:50,989 ] 187 werkzeug - WARNING -  * Debugger is active!
[ 2023-12-06 18:46:51,006 ] 187 werkzeug - INFO -  * Debugger PIN: 813-503-763
[ 2023-12-06 18:46:59,117 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:46:59] "GET / HTTP/1.1" 200 -
[ 2023-12-06 18:47:03,429 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:47:03] "GET /predict HTTP/1.1" 200 -
[ 2023-12-06 18:47:08,486 ] 51 root - INFO - Dataframe Gathered
[ 2023-12-06 18:47:08,487 ] 25 root - INFO - ERROR OCCURED DURING LOADING THE OBJECT
[ 2023-12-06 18:47:08,487 ] 24 root - INFO - ERROR OCCURED DURING PREDICTION
[ 2023-12-06 18:47:08,511 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:47:08] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2023-12-06 18:47:08,551 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:47:08] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-12-06 18:47:08,551 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:47:08] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-12-06 18:47:08,652 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:47:08] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-12-06 18:47:08,680 ] 187 werkzeug - INFO - 127.0.0.1 - - [06/Dec/2023 18:47:08] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-12-06 18:48:04,289 ] 187 werkzeug - INFO -  * Detected change in 'D:\\DiamondPricePrediction\\venv\\Lib\\ntpath.py', reloading
